"","treatment","cohort","sofa_start","sofa_end","sens","psi","i_ci","s_ci","pvalue","n"
"66","rrt","cancer","0","3","vasopressor","-0.0940243215431824","-0.139951132203251","-0.0480975108831139","6.00439305841477e-05","849"
"67","rrt","cancer","4","6","mech_vent","0.13016216097626","0.046125932422552","0.214198389529968","0.00239892254690044","1787"
"68","rrt","cancer","4","6","rrt","0.110625395124377","0.0172778982951399","0.203972891953614","0.0201909304043663","896"
"69","rrt","cancer","4","6","vasopressor","0.295689166598915","0.18810672895653","0.4032716042413","7.16279730239362e-08","808"
"70","rrt","cancer","7","10","mech_vent","0.00660808570681992","-0.0855111775331159","0.0987273489467557","0.888186981041574","1170"
"71","rrt","cancer","7","10","rrt","0.233638961434998","0.0670000571677155","0.400277865702281","0.00599505110048889","438"
"72","rrt","cancer","7","10","vasopressor","0.0236953743787096","-0.168025174064878","0.215415922822298","0.808591987126665","473"
"73","rrt","cancer","11","24","mech_vent","-0.000230858067424733","-0.102471833906585","0.102010117771736","0.996468861232333","507"
"74","rrt","cancer","11","24","rrt","0.160265344839868","-0.0216912144254884","0.342221904105225","0.0842850879156844","140"
"75","rrt","cancer","11","24","vasopressor","-0.0934661031263465","-0.272713676951225","0.0857814706985324","0.306774189251874","230"
"76","vasopressor","cancer","0","24","mech_vent","0.0703539459016473","0.0426838739547887","0.0980240178485059","6.24451256759223e-07","4988"
"77","vasopressor","cancer","0","24","rrt","0.112351504352308","0.0776386801605778","0.147064328544038","2.24260843897633e-10","2531"
"78","vasopressor","cancer","0","24","vasopressor","0.0510942510534061","0.0120668523928238","0.0901216497139884","0.0102875582391647","2360"
"79","vasopressor","cancer","0","3","mech_vent","0.0718718866866068","0.0235885657746212","0.120155207598592","0.00352795542352529","1524"
"80","vasopressor","cancer","0","3","rrt","0.0939513063004207","0.0430681232758385","0.144834489325003","0.000295781346558947","1057"
"81","vasopressor","cancer","0","3","vasopressor","0.048009941434721","-0.0144300992219328","0.110449982091375","0.131801035331613","849"
"82","vasopressor","cancer","4","6","mech_vent","0.0676306206176188","0.0274922226379993","0.107769018597238","0.000958359662659738","1787"
"83","vasopressor","cancer","4","6","rrt","0.139163549682241","0.0840162436064065","0.194310855758076","7.57399845744006e-07","896"
"84","vasopressor","cancer","4","6","vasopressor","0.0584153327657818","-0.00274680997245393","0.119577475504017","0.0612099490319646","808"
"85","vasopressor","cancer","7","10","mech_vent","0.053366256176372","-0.00394117138203751","0.110673683734782","0.0679699448240639","1170"
"86","vasopressor","cancer","7","10","rrt","0.0731207841647439","-0.0238720280582226","0.17011359638771","0.139514439135689","438"
"87","vasopressor","cancer","7","10","vasopressor","-0.01159772866344","-0.103364006369898","0.0801685490430179","0.804357752481752","473"
"88","vasopressor","cancer","11","24","mech_vent","-0.0523073225480263","-0.180550659904451","0.0759360148083989","0.424037590741538","507"
"89","vasopressor","cancer","11","24","rrt","0.204975472481183","-0.000140409452572321","0.410091354414937","0.0501528162286083","140"
"90","vasopressor","cancer","11","24","vasopressor","0.119044005222","-0.0452209881917216","0.283308998635721","0.155483728563386","230"
